capital = 386

oob = "CAS_1936"

set_research_slots = 4

set_stability = 0.65

# Starting tech
set_technology = {
 	infantry_weapons = 1
	infantry_weapons1 = 1	
	tech_engineers = 1
	tech_mountaineers = 1
	motorised_infantry = 1
	gw_artillery = 1
	interwar_antiair = 1
	gwtank = 1
	basic_light_tank = 1
	basic_heavy_tank = 1
	early_fighter = 1
	fighter1 = 1
	early_bomber = 1
	tactical_bomber1 = 1
	strategic_bomber1 = 1
	CAS1 = 1
	naval_bomber1 = 1
}

recruit_character = CAS_ar
recruit_character = CAS_acr
recruit_character = CAS_mt
recruit_character = CAS_stc
recruit_character = CAS_aa2
recruit_character = CAS_acgs
recruit_character = CAS_ncm
recruit_character = CAS_nccr
recruit_character = CAS_coi
recruit_character = CAS_democratic_guy
recruit_character = CAS_acd2
recruit_character = CAS_acas
recruit_character = CAS_communist_guy
recruit_character = CAS_ncs
recruit_character = CAS_awt
recruit_character = CAS_pot
recruit_character = CAS_fascist_guy
recruit_character = CAS_ai2
recruit_character = CAS_nt
recruit_character = CAS_aco2


set_convoys = 60

1939.1.1 = {
	
	#generic focuses
	complete_national_focus = army_effort
	complete_national_focus = equipment_effort
	complete_national_focus = motorization_effort
	complete_national_focus = aviation_effort
	complete_national_focus = naval_effort
	complete_national_focus = large_navy
	complete_national_focus = industrial_effort
	complete_national_focus = construction_effort
	complete_national_focus = production_effort
	
	set_technology = {
		tech_support = 1
		tech_recon = 1
		support_weapons = 1
		gw_artillery = 1

		#doctrines
		air_superiority = 1
		grand_battle_plan = 1
		trench_warfare = 1
		fleet_in_being = 1
		battlefleet_concentration = 1
		convoy_sailing = 1

		#electronics
		electronic_mechanical_engineering = 1
		radio = 1
		radio_detection = 1
		mechanical_computing = 1
		computing_machine = 1

		#industry
		basic_machine_tools = 1
		improved_machine_tools = 1
		advanced_machine_tools = 1
		construction1 = 1
		construction2 = 1
		dispersed_industry = 1
		dispersed_industry2 = 1
	}
}


set_politics = {
	ruling_party = neutrality
	last_election = "1936.1.12"
	election_frequency = 48
	elections_allowed = yes
}

set_popularities = {
	democratic = 27
	fascism = 18
	communism = 24
	neutrality = 31
}

create_country_leader = {
	name = "Dorothy M. Lee"
	desc = "DOROTHY_M_LEE_DESC"
	picture = "gfx/leaders/CAS/Portrait_Cascadia_Dorothy_Lee.dds"
	expire = "1956.1.1"
	ideology = centrism
	traits = {
		#
	}
}

create_country_leader = {
	name = "Joseph K. Carson"
	desc = "JOSEPH_K_CARSON_DESC"
	picture = "Portrait_Cascadia_Joseph_Carson.dds"
	expire = "1939.1.1"
	ideology = liberalism
	traits = {
		#
	}
}

create_country_leader = {
	name = "Terry D. Schrunk"
	desc = "TERRY_D_SCHRUNK_DESC"
	picture = "Portrait_Cascadia_Terry_Schrunk.dds"
	expire = "1956.1.1"
	ideology = liberalism
	traits = {
		#
	}
}

create_country_leader = {
	name = "George L. Rockwell"
	desc = "GEORGE_L_ROCKWELL_DESC"
	picture = "Portrait_Cascadia_George_Rockwell.dds"
	expire = "1942.1.1"
	ideology = fascism_ideology
	traits = {
		
	}
}

create_country_leader = {
	name = "Fritz J. Kuhn"
	desc = "FRITZ_J_KUHN_DESC"
	picture = "Portrait_Cascadia_Fritz_Kuhn.dds"
	expire = "1951.1.1"
	ideology = fascism_ideology
	traits = {
		
	}
}

create_country_leader = {
	name = "Norman M. Thomas"
	desc = "NORMAN_M_THOMAS_DESC"
	picture = "Portrait_Cascadia_Norman_Thomas.dds"
	expire = "1942.1.1"
	ideology = marxism
	traits = {
		
	}
}

create_country_leader = {
	name = "Monroe M. Sweetland"
	desc = "MONROE_M_SWEETLAND_DESC"
	picture = "Portrait_Cascadia_Monroe_Sweetland.dds"
	expire = "1965.1.1"
	ideology = marxism
	traits = {
		
	}
}

create_corps_commander = {
	name = "Joseph Stilwell"
	picture = "Portrait_CAS_Joseph_Stilwell.dds"
	traits = {  panzer_leader career_officer infantry_officer }
	skill = 4
	attack_skill = 4
	defense_skill = 3
	planning_skill = 2
	logistics_skill = 4
}

create_corps_commander = {
	name = "Edwin Harding"
	picture = "Portrait_CAS_Edwin_Harding.dds"
	traits = {  trait_engineer trait_cautious brilliant_strategist harsh_leader }
	skill = 3

	attack_skill = 2
	defense_skill = 4
	planning_skill = 3
	logistics_skill = 3
}

create_corps_commander = {
	name = "Bruce Magruder"
	picture = "Portrait_CAS_Bruce_Magruder.dds"
	traits = {  trait_cautious brilliant_strategist }
	skill = 2

	attack_skill = 3
	defense_skill = 2
	planning_skill = 3
	logistics_skill = 3
}

create_corps_commander = {
	name = "Orlando Ward"
	picture = "Portrait_CAS_Orlando_Ward.dds"
	traits = {  brilliant_strategist }
	skill = 2

	attack_skill = 2
	defense_skill = 2
	planning_skill = 2
	logistics_skill = 2
}

1939.1.1 = {
	set_politics = {
		ruling_party = democratic
		last_election = "1939.1.12"
		election_frequency = 48
		elections_allowed = yes
	}
	set_popularities = {
		democratic = 37
		fascism = 24
		communism = 32
		neutrality = 7
	}
}
